what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.gmf.bridge.ui.dashboard,2.0.100.v20110607-2359,"org.eclipse.gmf.bridge.ui.dashboard.DashboardPart",1340206372922
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340206376245
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340206380552
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340206382290
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340206382965
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340206383697
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340206385597
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1340206392443
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340206396379
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340206402233
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340206402326
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340206402774
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1340206405172
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1340206409177
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1340206409272
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1340206409317
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1340206410977
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340206414232
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340206414447
activated,editor,org.eclipse.gmf.map.edit,2.2.100.v20110510-2359,"org.eclipse.gmf.mappings.presentation.GMFMapEditorID",1340206416512
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1340206416531
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.close",1340206416556
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.RunLast",1340206419551
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340206420261
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340206453498
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340206484890
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340206490694
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1340206505294
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1340206505992
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1340206506073
activated,editor,org.eclipse.gmf.map.edit,2.2.100.v20110510-2359,"org.eclipse.gmf.mappings.presentation.GMFMapEditorID",1340206517726
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1340206517746
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340206520165
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340206524258
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340206524329
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340206524837
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.RunLast",1340206533775
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340206534428
